"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"East Asia & Pacific (excluding high income)","EAP","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.607036812296","","","","","28.0921532566219","","27.5272600562667","","","26.7917599961221","","","","","25.677977370727","","","","","24.562937622912","","24.171889998364","24.0101866800036","23.7974772542046","",
"Early-demographic dividend","EAR","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.9794051325896","","","","","37.2549928112097","","35.0145466768109","","","32.0950915409935","","","","","27.8473000061093","","","","","24.4691998682943","","23.3144399758685","22.7489652102529","22.1908572001902","",
"East Asia & Pacific","EAS","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.9525973987152","","","","","28.1357696012495","","27.4594692246218","","","26.577003771253","","","","","25.2563761333871","","","","","23.9825004834073","","23.5424482712377","23.3462548685429","23.1108791804012","",
"Europe & Central Asia (excluding high income)","ECA","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8675494884174","","","","","33.0924489179754","","32.0038319035136","","","30.5959659806391","","","","","28.5333103162792","","","","","26.8506384232091","","26.2490526776047","25.9959661566731","25.7154175385521","",
"Europe & Central Asia","ECS","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.386037839726","","","","","33.3149384386395","","32.2027030481061","","","30.5994598395725","","","","","28.2796483829991","","","","","26.3163954571395","","25.5637895427957","25.2079676602986","24.8821942073267","",
"Ecuador","ECU","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.1","","","","","13.1","","12.7","","","12.1","","","","","11.3","","","","","10.7","","10.4","10.2","10.1","",
"Egypt, Arab Rep.","EGY","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7","","","","","20.4","","20.8","","","21.5","","","","","22.6","","","","","23.9","","24.4","24.7","25","",
"Euro area","EMU","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.0523569721134","","","","","32.0214781777527","","31.2943170601787","","","30.2364788500053","","","","","28.5932062325571","","","","","27.1822209780786","","26.6502896994463","26.369398657121","26.148215458169","",
"Eritrea","ERI","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.7","","","","","33.1","","32.4","","","31.5","","","","","30","","","","","28.5","","28.1","27.9","27.6","",
"Estonia","EST","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.8","","","","","42","","40","","","37.1","","","","","32.6","","","","","28.9","","27.5","26.8","26.1","",
"Ethiopia","ETH","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","6","","5.9","","","5.7","","","","","5.5","","","","","5.3","","5.3","5.2","5.2","",
"European Union","EUU","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2948259667923","","","","","32.8307038422697","","31.9405444554204","","","30.6559582409247","","","","","28.7219234912067","","","","","27.0359491575587","","26.4077390904862","26.0810210195502","25.8196110153284","",
"Finland","FIN","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","","","","","34.4","","32.8","","","30.3","","","","","26.8","","","","","23.7","","22.4","21.8","21.4","",
"Fiji","FJI","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.9","","","","","32.6","","31.8","","","30.6","","","","","28.7","","","","","27","","26.4","26","25.8","",
"France","FRA","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5","","","","","34.2","","34.2","","","34","","","","","33.7","","","","","33.8","","33.7","33.4","33.6","",
"Faroe Islands","FRO","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3","","","","","13.9","","13.8","","","13.6","","","","","13.3","","","","","13.3","","13.3","13.2","13.3","",
"United Kingdom","GBR","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.2","","","","","30.3","","27.7","","","24.2","","","","","19.2","","","","","15.3","","14","13.4","12.8","",
"Georgia","GEO","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4","","","","","34.8","","34.5","","","34","","","","","33.6","","","","","33.3","","32.8","33.1","33","",
"Ghana","GHA","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.4","","","","","6.3","","5.8","","","5.3","","","","","4.5","","","","","3.8","","3.5","3.4","3.3","",
"Gibraltar","GIB","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.7","","","","","18","","17","","","15.8","","","","","13.9","","","","","12.2","","11.7","11.4","11.1","",
"Guinea-Bissau","GNB","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3","","","","","17","","15.5","","","13.6","","","","","11","","","","","9","","8.6","8.3","8.2","",
"Equatorial Guinea","GNQ","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Prevalence of current tobacco use (% of adults)","SH.PRV.SMOK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.2","","","","","46.4","","44.2","","","41.3","","","","","36.7","","","","","33","","31.5","31","30.2","",
